timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapter/FullAdapter/Parallel-4        	  410868	      2993 ns/op	   12016 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial       	  225042	      5252 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial       	  224058	      5229 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial       	  227739	      5195 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial       	  230426	      5197 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial       	  231980	      5191 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-2     	  269016	      4418 ns/op	   12042 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-2     	  269668	      4451 ns/op	   12042 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-2     	  272866	      4415 ns/op	   12042 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-2     	  274555	      4390 ns/op	   12042 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-2     	  270616	      4414 ns/op	   12042 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-4     	  275719	      4372 ns/op	   12045 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-4     	  273698	      4392 ns/op	   12045 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-4     	  272176	      4374 ns/op	   12045 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-4     	  276136	      4373 ns/op	   12045 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Serial-4     	  272728	      4382 ns/op	   12045 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel     	  229136	      5295 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel     	  231572	      5169 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel     	  231270	      5208 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel     	  231962	      5162 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel     	  229717	      5194 ns/op	   12041 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-2   	  342574	      3531 ns/op	   12043 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-2   	  347288	      3531 ns/op	   12043 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-2   	  338649	      3501 ns/op	   12043 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-2   	  344672	      3493 ns/op	   12043 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-2   	  345736	      3530 ns/op	   12043 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-4   	  415441	      2945 ns/op	   12048 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-4   	  410210	      2964 ns/op	   12048 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-4   	  389366	      2976 ns/op	   12048 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-4   	  407202	      2987 ns/op	   12048 B/op	      97 allocs/op
BenchmarkGinAdapter/FullAdapterRetry/Parallel-4   	  404277	      3002 ns/op	   12048 B/op	      97 allocs/op
BenchmarkGinAdapterColdConstruction               	 1875842	       646.8 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction               	 1879380	       631.4 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction               	 1904280	       629.6 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction               	 1884044	       637.5 ns/op	    1672 B/op	      25 allocs/op
BenchmarkGinAdapterColdConstruction               	 1890967	       631.8 ns/op	    1672 B/op	      25 allocs/op
